question_german,year,episode_number,name,listen_url,,question_english
Welche ist die ekelhafteste Wurstware?,2023,218,Tommi,https://open.spotify.com/episode/7a9w0lErnjMS6Mu1kDVDNo?go=1&t=4225, ,What’s the most disgusting type of sausage?
Glaubst du an Karma?,2021,153,Tommi,https://open.spotify.com/episode/69R8mhlGe45qgxdbIKPoVf?go=1&t=4806, ,Do you believe in karma?
Was war dein letzter sinnvoller Kauf?,2021,154,Felix,https://open.spotify.com/episode/7LRiX9vRNONQcZjTmXyy1t?go=1&t=3356, ,What was your last meaningful purchase?
Was konntest du pl√∂tzlich richtig gut?,2020,116,Felix,https://open.spotify.com/episode/49bfCy8AlgTj2p6AgFYobD?go=1&t=3900, ,What’s something you suddenly got really good at?
Hose oder Jogginghose?,2019,72,Felix,https://open.spotify.com/episode/1AT76QM4JXRaGUwjstaKLe?go=1&t=1905, ,Jeans or sweatpants?
Was ist dein Lieblingsmedikament?,2020,104,Felix,https://open.spotify.com/episode/3vVSvfolVLK5IPoRDRxH9O?go=1&t=2052, ,What’s your favorite medication?
Welches Produkt wurde unn√∂tig verkompliziert?,2020,127,Tommi,https://open.spotify.com/episode/5RyVuzhWz5uK2ANRY5REXy?go=1&t=3363, ,Which product was unnecessarily overcomplicated?
"Was sind die schlimmeren Schwiegereltern: erzkonservative D√ºsseldorfbonzen oder Geschiedene, die extra cool sein wollen?",2020,94,Tommi,https://open.spotify.com/episode/3lfsOEhLtQLAQGeKFcAXDi?go=1&t=4443, ,Which are worse in-laws: ultra-conservative Düsseldorf snobs or divorced parents trying too hard to be cool?
Welcher Filmtitel w√ºrde dein aktuelles Leben am besten beschreiben?,2019,58,Felix,https://open.spotify.com/episode/0XsdfC9bse858d2ZQKmLjX?go=1&t=5872, ,Which movie title would best describe your current life?
"Glaubst du, Samuel Koch w√§re Wettk√∂nig geworden, wenn er nicht gest√ºrzt w√§re?",2018,38,Tommi,https://open.spotify.com/episode/3nUkY2rVcTRlRnv05A67Gz?go=1&t=1320, ,"Do you think Samuel Koch would have become the “Wetten, dass..?” champion if he hadn’t fallen?"
Welches M√∂belst√ºck k√∂nntest du bauen?,2021,160,Felix,https://open.spotify.com/episode/4iLzG8ZdB3NDorBbCiCc2e?go=1&t=3672, ,What piece of furniture could you build?
Bist du ein neidischer Mensch?,2019,85,Tommi,https://open.spotify.com/episode/21cAjXHNSe30kHN44h40ym?go=1&t=2511, ,Are you a jealous person?
Bist du Zwischenspucker beim Z√§hneputzen?,2019,84,Felix,https://open.spotify.com/episode/5a8qg8BdR9nebdfGvcIfs9?go=1&t=1205, ,Are you a mid-brusher spitter when brushing your teeth?
Welche Art von Messenger-Gruppen ist die schlimmste?,2022,176,Felix,https://open.spotify.com/episode/1P3U1vthYQ7gI8ceJ1btLx?go=1&t=4994, ,What type of group chat is the worst?
Was ist dein Hausschnaps?,2021,150,Tommi,https://open.spotify.com/episode/1uuDJsO76nCAidIuTUVFEB?go=1&t=2544, ,What’s your go-to house schnapps?
Was ist ein typisches Zu-Hause-bei-den-Eltern-Essen?,2021,137,Felix,https://open.spotify.com/episode/5poLp9EsfQ4YsjKcquCHm7?go=1&t=3582, ,What’s a typical “eating at your parents’ house” meal?
Welches gesetzliche Verbot w√§re f√ºr dich am schlimmsten?,2022,202,Tommi,https://open.spotify.com/episode/0LgOC0Dako1Kr7Fywh9Fs9?go=1&t=4443, ,Which legal ban would be the worst for you?
Was f√ºr ein K√ºchenutensil bist du?,2020,126,Tommi,https://open.spotify.com/episode/2Jljbum2km3R6avxE1CxCH?go=1&t=3844, ,What kind of kitchen utensil would you be?
Was machst du in deiner Midlife-Crisis?,2023,225,Felix,https://open.spotify.com/episode/0ZCFEqaF5Briv5iAOaqqSn?go=1&t=4247, ,What will you do in your midlife crisis?
Was ist aktuell das Kindischste an dir?,2022,175,Tommi,https://open.spotify.com/episode/2KVZdX6nhAXe3qKCOfSqlh?go=1&t=3986, ,What’s the most childish thing about you right now?
Kicker oder Billard?,2018,36,Felix,https://open.spotify.com/episode/3OC5xy5BWUI6HdsvWe9JtM?go=1&t=1281, ,Foosball or billiards?
Wurdest du mal abgezogen?,2022,196,Felix,https://open.spotify.com/episode/069klYLSitGKBHhHh5qRet?go=1&t=3310, ,Have you ever been scammed or ripped off?
W√§rmst du dich vor dem Sport auf?,2021,160,Felix,https://open.spotify.com/episode/4iLzG8ZdB3NDorBbCiCc2e?go=1&t=3770, ,Do you warm up before exercising?
Was ist die komischste Eigenschaft deines Geschwisters?,2020,106,Felix,https://open.spotify.com/episode/41YsOEB2ODuJgxjc5ieqxR?go=1&t=3381, ,What’s the weirdest trait your sibling has?
Welches Buch aus deinem Regal hast du nicht gelesen?,2020,123,Felix,https://open.spotify.com/episode/1ZOUfvSu8oyGY2JyB2lvY8?go=1&t=3222, ,Which book on your shelf have you never read?
Was ist dein number one Smalltalk-Thema?,2023,236,Tommi,https://open.spotify.com/episode/7vlwrLYJb1qVvuAvyk0UWa?go=1&t=2828, ,What’s your number one small talk topic?
Welches Auto findest du optisch am geilsten?,2022,171,Felix,https://open.spotify.com/episode/5KEKCcqCAgsdtnxgKOSlE4?go=1&t=2271, ,Which car do you find the most visually appealing?
Was war als Kind deine Lieblingscomicfigur?,2023,219,Felix,https://open.spotify.com/episode/6FLsFfbOOIY4YWuLfvP31b?go=1&t=3702, ,Who was your favorite comic character as a child?
Was ist dein Lieblingsger√§usch?,2019,54,Tommi,https://open.spotify.com/episode/19H4s5qGvW1OxUE7cW5K9c?go=1&t=3180, ,What’s your favorite sound?
"Welche Dinge die andere gerne allein machen, machst du lieber in Gesellschaft?",2022,181,Felix,https://open.spotify.com/episode/0qy2S1M2gWDgmjdiSuXR1A?go=1&t=3955, ,What are some things others like to do alone that you prefer doing with company?
Welche 3 Dinge sind schlimmer als Umziehen?,2018,49,Tommi,https://open.spotify.com/episode/2ii0zBC8cVKPudPjtyETB8?go=1&t=2094, ,What three things are worse than moving?
Planst du in den n√§chsten 5 Jahren Kinder zu haben?,2018,48,Felix,https://open.spotify.com/episode/14ZktQRT1W5zsj3tVomg36?go=1&t=3602, ,Do you plan to have children within the next five years?
Was ist das beste Gem√ºse?,2023,208,Felix,https://open.spotify.com/episode/6bUXcbuDM47PLl9iZd9j1X?go=1&t=2524, ,What’s the best vegetable?
"Welche Dinge, die in Filmen als normal gelten, sind in Realit√§t komplett seltsam?",2022,168,Felix,https://open.spotify.com/episode/0GgXMDIx6a33z5hZNu3vO4?go=1&t=5255, ,What are things that seem normal in movies but are completely weird in real life?
"√úber welche Sache, die du mal konntest, jetzt aber nicht mehr kannst, bist du besonders traurig?",2022,168,Felix,https://open.spotify.com/episode/0GgXMDIx6a33z5hZNu3vO4?go=1&t=3906, ,"What’s something you used to be able to do but can’t anymore, and that makes you really sad?"
F√ºr welches Totschlagargument entwickelst du langsam Empathie?,2022,181,Felix,https://open.spotify.com/episode/0qy2S1M2gWDgmjdiSuXR1A?go=1&t=4708, ,For which “conversation-ending” argument are you slowly developing empathy?
"Was war das Letzte, was du ewig vor dir hergeschoben, jetzt aber endlich gemacht hast?",2022,193,Felix,https://open.spotify.com/episode/1RpCC7MsDcqSNIUi3hTg89?go=1&t=4103, ,What’s the last thing you procrastinated on forever but finally did?
Was ist schlimmer: Ein Auktionator mit Tourette oder ein hauptberuflicher Rasseldieb mit Parkinson?,2018,38,Tommi,https://open.spotify.com/episode/3nUkY2rVcTRlRnv05A67Gz?go=1&t=1696, ,What’s worse: an auctioneer with Tourette’s or a professional maraca thief with Parkinson’s?
Bei welchen Produkten nimmst du die g√ºnstigere Variante?,2021,153,Tommi,https://open.spotify.com/episode/69R8mhlGe45qgxdbIKPoVf?go=1&t=3893, ,For which products do you choose the cheaper version?
Was war dein meistgestreamter Song 2022?,2022,206,Felix,https://open.spotify.com/episode/4tI76AevfunAQhvAdkSQWW?go=1&t=1583, ,What was your most-streamed song in 2022?
"Was machst du, weil du es mal gelernt hast ohne zu wissen, ob es so richtig ist?",2023,221,Felix,https://open.spotify.com/episode/2Rzw6n8MaMQg9s06YRS2Pe?go=1&t=2652, ,"What do you do just because you learned it once, without knowing if it’s actually right?"
"Was ist schlimmer: jemand, dessen W√§sche stockig riecht oder jemand, dessen W√§sche zu sehr nach Waschmittel und Weichsp√ºler riecht?",2022,181,Felix,https://open.spotify.com/episode/0qy2S1M2gWDgmjdiSuXR1A?go=1&t=2631, ,What’s worse: someone whose laundry smells musty or someone whose laundry reeks of detergent and fabric softener?
Wie gehst du bei Kumpels ans Telefon?,2019,78,Felix,https://open.spotify.com/episode/3DdjDnmfKixTCDVAKhOfMe?go=1&t=2775, ,How do you answer the phone when a buddy calls?
Findest du Hallenb√§der auch so schei√üe wie Tommi?,2018,42,Tommi,https://open.spotify.com/episode/1zc3bn8eFwXCfaMtRnspcf?go=1&t=1754, ,Do you hate indoor swimming pools as much as Tommi does?
Was kriegt dich emotional immer?,2023,215,Tommi,, ,What always gets you emotionally?
"Was bedeutet ""Von Tuten und Blasen""?",2019,80,Felix,https://open.spotify.com/episode/0m22Iax9AxCEdLppJi0YsS?go=1&t=1244, ,What does the phrase “Von Tuten und Blasen” mean to you?
Worauf h√§ttest du mehr Bock: Ein dolles Erdbeben oder einen ausgewachsenen Wirbelsturm?,2018,33,Felix,https://open.spotify.com/episode/6Rt5tlQzAyXUnm19Y6mx9B?go=1&t=108, ,Which would you rather experience: a major earthquake or a full-blown hurricane?
Bist du Snooze-Dr√ºcker oder Gleich-Aufsteher?,2020,91,Felix,https://open.spotify.com/episode/7zHD9kMDlKN2RdKtSzCqfG?go=1&t=4529, ,Are you a snooze-button hitter or an immediate get-upper?
Was denkst du √ºber den Namen Rene?,2021,131,Tommi,https://open.spotify.com/episode/14rZoVMspw1mc34UlVSV3L?go=1&t=5576, ,What do you think about the name René?
